Time,GyroX,GyroY,GyroZ,AcceX,AcceY,AcceZ,MagnX,MagnY,MagnZ,Baro,Result,TrueResult
57:51.2,24.09976269,-91.86072737,22.24558998,369.3068516,545.6911447,317.0456122,16.49,-9.14,94.44,1015.06,-1,-1
57:52.2,21.11815729,-86.81883001,26.68818083,369.8602783,547.2323852,322.3855378,20.09,-12.59,79.15,1015.03,-1,-1
57:53.2,17.62824296,-97.6059161,20.26858468,369.3338054,543.9846021,315.7189139,13.64,-14.54,63.56,1015.04,-1,-1
57:54.2,25.97902934,-95.33664874,9.709554245,356.9073049,542.1772229,320.0639685,11.24,-11.09,52.02,1015.07,-1,-1
57:55.1,16.34313911,-99.95714886,10.29495595,351.5495513,529.7445887,316.6647232,5.85,-13.04,50.22,1015.03,-1,-1
57:56.2,30.88806319,-103.8592213,-4.537606528,346.7545203,537.4051796,318.5149662,0.3,-3,14.39,1015.06,-1,-1
57:57.2,22.35820524,-95.48299019,-4.39431792,331.6725925,534.8951418,338.7059097,1.95,-11.39,27.58,1015.04,-1,-1
57:58.2,7.747036109,-107.5361778,-1.601919769,332.9525827,517.7506591,314.1302401,6.9,-14.54,27.58,1015.02,-1,-1
57:59.2,16.37852705,-99.68600942,-4.465188202,330.453567,524.3781539,324.5895764,28.63,-19.34,93.54,1015.04,-1,-1
58:00.2,22.4353769,-106.2619594,-8.394142858,336.3221034,527.4795592,315.1113921,30.43,-20.84,94.59,1015.03,-1,-1
58:01.2,25.40628293,-90.2496085,13.2409804,360.9346761,550.6658948,324.9360416,11.39,-8.84,24.73,1015.07,-1,-1
58:02.2,21.5237136,-90.67781692,18.72523027,364.4054392,543.924119,315.1432507,14.54,-14.69,37.63,1015.03,-1,-1
58:03.2,28.93913273,-95.42766963,-7.162582156,331.7691077,528.0257575,322.7480556,8.39,-12.29,14.99,1015.05,-1,-1
58:04.2,37.00930818,-96.74774828,-14.77221877,333.6349439,542.6900968,325.9640795,29.08,-21.14,76.15,1015.04,-1,-1
58:05.2,13.90159486,-92.60028788,-5.574631363,320.5021801,519.3283219,325.4162802,50.52,-3.15,137.31,1015.06,-1,-1
