Time,GyroX,GyroY,GyroZ,AcceX,AcceY,AcceZ,MagnX,MagnY,MagnZ,Baro,Result,TrueResult,TimeB,BaroB
17:37.3,-9.38E-08,-2.87E-06,-3.74E-05,-0.000300773,-0.001699325,-0.007186282,-0.023568993,-0.061159604,-0.126880847,1008.51,1,1,17:37.4,1009.08
17:38.3,1.592499978,8.396258416,29.64449979,79.86136818,169.0039966,280.865003,356.3230872,315.5224451,131.4361903,1008.51,1,1,17:38.4,1009.1
17:39.2,163.2864603,49.15132718,-82.87474542,-20.85512358,211.7903968,389.4599336,369.846507,226.9578182,83.25658508,1008.51,1,1,17:39.3,1009.08
17:40.3,167.6149495,108.0225424,-69.05245541,-68.58223548,186.1751148,424.400696,401.7742095,204.6012508,49.36974961,1008.54,1,1,17:40.3,1009.05
17:41.2,162.0843911,132.4155355,-58.39277954,-87.58051245,172.3385834,437.9483768,417.1214507,196.1962097,33.91628471,1008.54,1,1,17:41.3,1009.05
17:42.3,159.3092884,143.1237789,-53.53313855,-95.93838448,166.1734677,443.9418768,423.9048809,192.4249507,27.08645158,1008.49,1,1,17:42.3,1009.16
17:43.3,158.1734849,147.9091602,-51.46582345,-99.70471349,163.5028427,446.6579039,426.8467287,190.6603052,24.07957583,1008.49,1,1,17:43.4,1009.16
17:44.3,157.7259723,150.0510227,-50.59594034,-101.3999465,162.3600054,447.8997301,428.1300912,189.8492036,22.76738345,1008.54,1,1,17:44.3,1009.07
17:45.3,157.5616609,151.0092646,-50.23698378,-102.1626578,161.8813187,448.4801731,428.70115,189.4858554,22.20051885,1008.53,1,1,17:45.3,1009.07
17:46.3,157.5107189,151.4407392,-50.09514889,-102.514451,161.6747205,448.7424304,428.9391699,189.3031394,21.94548934,1008.51,1,1,17:49.5,1009.1
17:47.2,157.4891485,151.6347781,-50.03351166,-102.6729237,161.5823306,448.8561958,429.0379369,189.2158346,21.83189861,1008.54,1,1,17:49.5,1009.13
17:48.3,157.4796157,151.720246,-50.00591039,-102.7394992,161.5483888,448.9154077,429.0923,189.188807,21.78895113,1008.54,1,1,17:49.6,1009.07
17:49.2,157.4827722,151.7592159,-49.99937466,-102.773555,161.5340549,448.9425362,429.1117509,189.1693358,21.7670037,1008.53,1,1,17:49.6,1009.12
17:50.3,157.4827095,151.7775923,-49.99535321,-102.7895105,161.5253878,448.9519369,429.1176,189.1579542,21.75572462,1008.53,1,1,17:49.6,1009.08
17:51.3,157.4811554,151.7852202,-49.99252961,-102.7952492,161.5219672,448.9561643,429.1212949,189.1549892,21.75196296,1008.53,1,1,17:50.4,1009.08
17:52.2,157.4812781,151.78827,-49.99200485,-102.7978382,161.5209558,448.9582414,429.1226355,189.1534405,21.75044463,1008.55,1,1,17:51.3,1009.1
17:53.3,157.4814875,151.789792,-49.99137054,-102.7977021,161.523424,448.9640929,429.1296172,189.1586813,21.75259729,1008.52,1,1,17:51.3,1009.08
17:54.3,157.4846722,151.7912435,-49.99408503,-102.8023181,161.5196005,448.959334,429.1206774,189.1477355,21.7470266,1008.49,1,1,17:52.3,1009.08
17:55.2,157.4799408,151.7908706,-49.99138628,-102.8022872,161.5137341,448.9496186,429.1111343,189.1407597,21.7436393,1008.49,1,1,17:53.3,1009.07
17:56.3,157.4751716,151.7881549,-49.98866208,-102.7982419,161.5133587,448.945791,429.1097752,189.1436164,21.74596387,1008.52,1,1,17:54.3,1009.07
17:57.2,157.4754629,151.7862043,-49.98876898,-102.7945823,161.5188451,448.9519665,429.1180507,189.1532386,21.75154007,1008.51,1,1,17:55.3,1009.07
17:58.3,157.48048,151.7868203,-49.99256031,-102.797727,161.5189488,448.9522813,429.1148963,189.1480099,21.74912521,1008.51,1,1,17:56.3,1009.09
17:59.3,157.4790097,151.7876235,-49.99120432,-102.7977302,161.5180243,448.9519566,429.1154158,189.1483969,21.74889354,1008.54,1,1,17:56.4,1009.14
18:00.3,157.4788989,151.7877848,-49.99037825,-102.7956877,161.5222634,448.9592395,429.1250725,189.157386,21.75309555,1008.53,1,1,17:57.3,1009.14
18:01.3,157.4835677,151.7892841,-49.99365749,-102.7994936,161.5217634,448.9599996,429.1225521,189.1519083,21.75006439,1008.53,1,1,17:58.3,1009.13
18:02.2,157.4819398,151.7904785,-49.99207478,-102.7997913,161.5205729,448.9598752,429.1233512,189.1521807,21.74956015,1008.51,1,1,17:59.3,1009.07
18:03.3,157.481682,151.7904581,-49.99237203,-102.8011882,161.5175514,448.9550281,429.1170699,189.1462002,21.74663739,1008.53,1,1,17:59.6,1009.07
18:04.3,157.4785469,151.7896204,-49.98981251,-102.7978191,161.5197408,448.9578166,429.1230837,189.1538094,21.75048273,1008.53,1,1,18:00.3,1009.07
18:05.2,157.4817079,151.7895576,-49.99220347,-102.7990458,161.5209304,448.9593446,429.1228787,189.1525069,21.75007711,1008.51,1,1,18:01.3,1009.1
18:06.1,157.4817934,151.7901119,-49.99255991,-102.8009285,161.5177832,448.9548569,429.1168254,189.1462967,21.74688479,1008.52,1,1,18:02.3,1009.1
