Time,GyroX,GyroY,GyroZ,AcceX,AcceY,AcceZ,MagnX,MagnY,MagnZ,Baro,Result,TrueResult,TimeB,BaroB
01:42.3,0.206668673,0.217928519,-0.699717116,-1.672765335,-0.786866235,1.425656285,1.458458375,-1.208033936,-1.856836027,1008.18,1,1,01:42.3,1008.79
01:43.3,12.33128499,-0.807504688,-9.650633284,0.068688117,12.36061388,3.825834108,-16.02069016,-23.27684988,-23.03166641,1008.17,1,1,01:43.3,1008.75
01:44.3,-10.93956612,-80.7156619,61.53726336,369.717699,518.3956018,319.1794816,-3.919559994,-123.1830197,-35.77011619,1008.14,1,1,01:44.3,1008.78
01:45.3,13.28088568,-70.63265811,44.28404535,361.2117831,531.5496728,327.8405205,-11.93785655,-127.8506663,-23.16602502,1008.14,1,1,01:45.3,1008.77
01:46.3,13.27653901,-70.63211379,44.28379492,361.2023696,531.5349802,327.8309128,-11.93820274,-127.8475164,-23.16571109,1008.15,1,1,01:46.3,1008.75
01:47.3,13.27586467,-70.63251929,44.2842598,361.2027661,531.5347194,327.8305337,-11.93812976,-127.8472092,-23.16577918,1008.11,1,1,01:47.3,1008.74
01:48.3,13.27527928,-70.63329753,44.28474118,361.2055677,531.5390528,327.8341101,-11.93725054,-127.8486878,-23.16696304,1008.15,1,1,01:48.3,1008.73
01:49.3,13.27654741,-70.6293237,44.28364458,361.1931504,531.5202853,327.821111,-11.93864033,-127.8441779,-23.16523925,1008.17,1,1,01:49.3,1008.73
01:50.3,13.27516056,-70.63401481,44.28478668,361.2064273,531.5394401,327.8332248,-11.93808758,-127.8478031,-23.16571867,1008.17,1,1,01:50.3,1008.76
01:51.3,13.27592641,-70.63561226,44.28434568,361.2123661,531.549666,327.8399383,-11.93813074,-127.8501009,-23.16555129,1008.16,1,1,01:51.3,1008.78
01:52.3,13.27633852,-70.63532154,44.28406492,361.2120713,531.5497947,327.8402245,-11.93811237,-127.850334,-23.16558705,1008.16,1,1,01:52.3,1008.75
01:53.3,13.27647877,-70.63429452,44.28392099,361.2088999,531.5449397,327.8370527,-11.93825334,-127.8493008,-23.1654429,1008.15,1,1,01:53.3,1008.72
01:54.3,13.27610561,-70.63434676,44.28418843,361.2089088,531.5446789,327.8370612,-11.93798292,-127.8493469,-23.16581217,1008.14,1,1,01:54.3,1008.74
01:55.3,13.27613469,-70.63325743,44.28412852,361.2056449,531.5396941,327.8339906,-11.93794115,-127.848428,-23.16592979,1008.19,1,1,01:55.3,1008.77
01:56.3,13.27656904,-70.6326563,44.28374725,361.2030375,531.5353584,327.8302202,-11.93891177,-127.846761,-23.16458803,1008.15,1,1,01:56.4,1008.82
01:57.3,13.27515996,-70.63765783,44.28498985,361.2186271,531.5589775,327.8463906,-11.93737004,-127.8522862,-23.16644497,1008.2,1,1,01:57.4,1008.82
01:58.3,13.2775863,-70.63328904,44.2830783,361.2058975,531.5408592,327.8336606,-11.93927863,-127.8479113,-23.16401474,1008.25,1,1,01:58.3,1008.77
01:59.3,13.27639249,-70.63919434,44.28411297,361.2226237,531.5652572,327.8486425,-11.93912946,-127.8522208,-23.16384937,1008.19,1,1,01:59.3,1008.79
02:00.3,13.27633163,-70.64338533,44.2844272,361.2374209,531.5893957,327.8655708,-11.93772636,-127.8583486,-23.16556281,1008.15,1,1,02:00.3,1008.79
02:01.3,13.27803839,-70.63640124,44.28298254,361.2175148,531.5604011,327.8474083,-11.93827957,-127.852948,-23.16520745,1008.2,1,1,02:01.3,1008.78
02:02.3,13.27758538,-70.63328996,44.28308108,361.2058985,531.5408546,327.8336601,-11.93926398,-127.8478876,-23.1640001,1008.22,1,1,02:02.3,1008.79
02:03.3,13.27605805,-70.63900832,44.28436779,361.2223471,531.5648632,327.8489455,-11.93856661,-127.8525401,-23.16462001,1008.21,1,1,02:03.3,1008.81
02:04.3,13.27697449,-70.64042914,44.28382807,361.2280921,531.5750892,327.8558528,-11.93851105,-127.8550145,-23.16460321,1008.19,1,1,02:04.3,1008.76
02:05.3,13.27741591,-70.63904886,44.28348671,361.2245331,531.5702342,327.8530685,-11.93845458,-127.8543346,-23.16476025,1008.17,1,1,02:05.3,1008.82
02:06.3,13.27721254,-70.63698429,44.28354892,361.2181061,531.5601358,327.8468349,-11.93829068,-127.8524405,-23.16511031,1008.2,1,1,02:06.3,1008.76
02:07.3,13.27730327,-70.6353456,44.28337379,361.2122432,531.5505567,327.8400027,-11.93895643,-127.8499125,-23.16426276,1008.18,1,1,02:07.3,1008.81
02:08.3,13.27613574,-70.63853159,44.28434186,361.2217758,531.5645979,327.8495348,-11.9379854,-127.8530924,-23.1654264,1008.13,1,1,02:08.5,1008.83
02:09.3,13.27664589,-70.63582281,44.28392518,361.2146662,531.5546294,327.8439751,-11.93760936,-127.8517905,-23.16611706,1008.19,1,1,02:09.3,1008.78
02:10.4,13.27749157,-70.63128931,44.28306416,361.199566,531.5308782,327.8273242,-11.93925718,-127.8458378,-23.16406279,1008.19,1,1,02:10.3,1008.78
02:11.3,13.27533962,-70.63802461,44.28484631,361.2191023,531.5593511,327.8458913,-11.93796534,-127.8516832,-23.16545749,1008.14,1,1,02:11.3,1008.79
02:12.3,13.27635414,-70.63702743,44.28417059,361.2180325,531.5594799,327.8469526,-11.93755248,-127.8526233,-23.16609595,1008.16,1,1,02:12.3,1008.82
02:13.3,13.27727865,-70.632016,44.28328015,361.2023596,531.535469,327.8308917,-11.9386374,-127.8472526,-23.16486638,1008.19,1,1,02:13.4,1008.75
02:14.3,13.27602217,-70.63482926,44.28423172,361.2094869,531.544916,327.8364684,-11.93847261,-127.8486466,-23.16491426,1008.16,1,1,02:14.3,1008.78
02:15.3,13.2757905,-70.63749566,44.28455286,361.2185221,531.5593467,327.846472,-11.93765491,-127.85219,-23.16589498,1008.18,1,1,02:15.3,1008.76
02:16.3,13.27721933,-70.63419581,44.28340345,361.2088888,531.5454331,327.8370322,-11.93870264,-127.8490607,-23.16461284,1008.15,1,1,02:16.3,1008.78
02:17.3,13.27581935,-70.63640656,44.28449364,361.2152584,531.5543607,327.8434013,-11.93760948,-127.8512653,-23.16600893,1008.18,1,1,02:17.3,1008.82
02:18.3,13.27709759,-70.63328334,44.28344295,361.2058189,531.5404471,327.8337676,-11.93875592,-127.8479593,-23.16457621,1008.19,1,1,02:18.3,1008.84
02:19.3,13.27600181,-70.63677059,44.2843417,361.2157304,531.5547479,327.8429036,-11.93824908,-127.8507338,-23.16506575,1008.25,1,1,02:19.3,1008.85
02:20.3,13.2773134,-70.63782897,44.28343472,361.2191541,531.5607691,327.8457455,-11.93944926,-127.8512562,-23.1632985,1008.22,1,1,02:20.3,1008.84
02:21.3,13.27639854,-70.64369143,44.28437246,361.2378054,531.5896316,327.8651716,-11.93811367,-127.857819,-23.16481183,1008.18,1,1,02:21.3,1008.84
02:22.3,13.27794562,-70.63967476,44.28317894,361.2273132,531.5753285,327.8566167,-11.93831703,-127.8555625,-23.16476674,1008.24,1,1,02:22.3,1008.83
02:23.3,13.27838906,-70.63628283,44.28264525,361.2154858,531.5563014,327.8430449,-11.93973623,-127.8505747,-23.16296411,1008.24,1,1,02:23.3,1008.82
