Time,GyroX,GyroY,GyroZ,AcceX,AcceY,AcceZ,MagnX,MagnY,MagnZ,Baro,Result,TrueResult
52:45.1,0.058290715,-0.044543265,-0.305810002,-0.187984657,0.561435352,1.004624228,0.170305473,-0.86276391,-0.232984436,1015.03,1,1
52:46.2,12.48470368,-5.12044898,-10.11133421,7.354969302,15.62561773,-5.947528764,-21.67088165,1.333432047,25.54700261,1015.02,1,1
52:47.2,-4.665507297,-82.62013294,54.32795118,372.070501,524.8145649,313.7437468,-10.33158792,-101.0645169,13.3447396,1015.04,1,1
52:48.2,21.49409636,-71.47837664,36.64191246,362.9176401,537.9133523,322.5618387,-18.39239426,-105.8553355,25.89675759,1014.99,1,1
52:49.2,21.48849144,-71.48265701,36.64280521,362.9236221,537.92228,322.5685953,-18.39110366,-105.8578934,25.89506032,1015.03,1,1
52:50.2,21.49016181,-71.47754161,36.64138126,362.9079319,537.8987885,322.5525172,-18.39272208,-105.8524186,25.89703576,1015.04,1,1
52:51.2,21.48840204,-71.48228474,36.6427901,362.9212174,537.9176835,322.5646396,-18.39190259,-105.8560958,25.89618341,1015.08,1,1
52:52.1,21.48975305,-71.48310419,36.6418684,362.9243548,537.9235749,322.5677766,-18.39282132,-105.8569091,25.89753832,1015.04,1,1
52:53.1,21.48900802,-71.48684986,36.64260084,362.9365702,537.9425999,322.5809605,-18.39159261,-105.8615323,25.89604382,1015.05,1,1
52:54.2,21.49072789,-71.48234608,36.64120812,362.9235715,537.9238324,322.5685428,-18.39268622,-105.8575523,25.89731583,1015.01,1,1
52:55.2,21.48909541,-71.48358157,36.64242052,362.926778,537.9276464,322.5717489,-18.39147056,-105.8587811,25.89568765,1015.06,1,1
52:56.2,21.49047473,-71.4796701,36.64123989,362.9144533,537.9090088,322.5586486,-18.39304309,-105.8541569,25.89767321,1015.04,1,1
52:57.2,21.48850273,-71.48513922,36.64286267,362.9305316,537.932498,322.5743389,-18.39161478,-105.8592666,25.89600627,1015.02,1,1
52:58.2,21.48986991,-71.48238874,36.64182847,362.9234973,537.9231786,322.5686607,-18.39195498,-105.8577464,25.89632323,1015.05,1,1
52:59.2,21.48996064,-71.48075005,36.64165334,362.9176344,537.9135996,322.5618285,-18.39262074,-105.8552184,25.89717079,1015.04,1,1
53:00.2,21.48890428,-71.48399835,36.64253739,362.9272595,537.9277706,322.5712594,-18.39183244,-105.8582839,25.8962689,1015.04,1,1
53:01.2,21.4898298,-71.48262837,36.64184526,362.9237845,537.9233051,322.5683653,-18.39222545,-105.8574377,25.89674656,1015.04,1,1
53:02.2,21.48956782,-71.48274292,36.64202869,362.923886,537.9231741,322.5682726,-18.39213777,-105.8573695,25.89663905,1015.06,1,1
53:03.2,21.48978993,-71.48286777,36.64186135,362.9240714,537.9234327,322.56807,-18.39249958,-105.8571349,25.89716623,1015.04,1,1
53:04.2,21.48928639,-71.48479788,36.64231932,362.9302298,537.9328796,322.5746156,-18.39184121,-105.8594121,25.89636541,1014.99,1,1
53:05.1,21.48953479,-71.48220342,36.64208536,362.9232215,537.9227813,322.5689634,-18.39138116,-105.858048,25.89556359,1015.03,1,1
53:06.2,21.49015817,-71.47754531,36.6413923,362.9079362,537.8987705,322.5525149,-18.39266388,-105.8523245,25.89709397,1015,1,1
53:07.1,21.48795365,-71.48203914,36.64313727,362.9208514,537.9171461,322.5650422,-18.39111307,-105.8564584,25.89519495,1015,1,1
53:08.2,21.48942195,-71.4785004,36.6419731,362.9109319,537.9031028,322.5558973,-18.39187971,-105.8536205,25.89606436,1015.03,1,1
53:09.1,21.4889699,-71.47903048,36.64227001,362.9115134,537.9031016,322.5553159,-18.39217184,-105.8530842,25.89652016,1015,1,1
53:10.2,21.48821477,-71.48192556,36.64295656,362.9207511,537.9172727,322.5651343,-18.39118647,-105.8565035,25.89531673,1015,1,1
53:11.2,21.4894212,-71.47850104,36.64197526,362.9109326,537.9030993,322.5558969,-18.39186835,-105.8536022,25.8960757,1014.97,1,1
53:12.2,21.48830219,-71.47865734,36.64277619,362.9109589,537.9023192,322.5559227,-18.39106444,-105.8537523,25.89496058,1014.98,1,1
53:13.1,21.48883458,-71.47563815,36.64225898,362.9015367,537.8878863,322.5463064,-18.3916774,-105.8505503,25.89564746,1014.99,1,1
53:14.2,21.48801981,-71.4770709,36.64286844,362.9051049,537.8924795,322.549099,-18.39146016,-105.851271,25.89543851,1015,1,1
53:15.1,21.48825197,-71.47804632,36.64274707,362.9082681,537.8975918,322.5522619,-18.39157826,-105.8522397,25.89567498,1014.96,1,1
53:16.1,21.48792839,-71.47871029,36.64304563,362.9109686,537.9020552,322.5559308,-18.39078343,-105.8537812,25.89460194,1014.99,1,1
53:17.2,21.48908534,-71.4746741,36.64203309,362.8984587,537.8831578,322.5430329,-18.39199046,-105.8493857,25.89606395,1014.99,1,1
53:18.1,21.48761658,-71.47821334,36.64319864,362.9083788,537.8971989,322.5521775,-18.39121651,-105.8522117,25.89520187,1015,1,1
53:19.1,21.48851286,-71.47793298,36.64256703,362.908168,537.8977172,322.5523539,-18.39164801,-105.8522789,25.89580044,1015.01,1,1
53:20.2,21.48848331,-71.47902272,36.64262836,362.9114325,537.9026998,322.5554242,-18.39168244,-105.8531859,25.89592536,1015,1,1
