Time,GyroX,GyroY,GyroZ,AcceX,AcceY,AcceZ,MagnX,MagnY,MagnZ,Baro,Result,TrueResult
52:45.1,0.022114842,0.029753817,-0.069292366,-0.253993462,-0.248937953,0.206505811,23.68,39.87,63.41,1015.03,1,1
52:46.2,14.58124766,16.4762615,7.181855184,-5.181023478,-6.24016325,5.225350512,23.68,39.87,63.41,1015.02,1,1
52:47.2,-0.472157921,39.27543247,65.24206338,16.92985034,-66.70510281,-53.08763196,23.68,39.87,63.41,1015.04,1,1
52:48.2,28.46429275,85.2804876,62.48589139,-16.53893512,-77.38651024,-32.35457345,23.68,39.87,63.41,1014.99,1,1
52:49.2,23.34845873,94.81194561,81.00432567,-2.700646034,-74.039443,-35.1388069,23.68,39.87,63.41,1015.03,1,1
52:50.2,23.35132642,94.81356933,81.00204976,-2.703095754,-74.03706267,-35.13400575,23.68,39.87,63.41,1015.04,1,1
52:51.2,23.34859395,94.81146446,81.00443669,-2.700082098,-74.03882849,-35.13832584,23.68,39.87,63.41,1015.08,1,1
52:52.1,23.35021518,94.81367146,81.0043135,-2.702114744,-74.04039662,-35.13794715,23.68,39.87,63.41,1015.04,1,1
52:53.1,23.34831913,94.81372162,81.0065974,-2.700559512,-74.04244292,-35.14137731,23.68,39.87,63.41,1015.05,1,1
52:54.2,23.35085597,94.81592503,81.00489309,-2.702954208,-74.0405998,-35.1372179,23.68,39.87,63.41,1015.01,1,1
52:55.2,23.34861719,94.8136183,81.00579691,-2.700509177,-74.04025259,-35.13921591,23.68,39.87,63.41,1015.06,1,1
52:56.2,23.35119893,94.8146954,81.00356698,-2.702813965,-74.03852659,-35.1353082,23.68,39.87,63.41,1015.04,1,1
52:57.2,23.34805654,94.8124611,81.00601661,-2.699809408,-74.04081365,-35.14040105,23.68,39.87,63.41,1015.02,1,1
52:58.2,23.35010089,94.81421599,81.00416009,-2.702481194,-74.04022748,-35.13773567,23.68,39.87,63.41,1015.05,1,1
52:59.2,23.3503206,94.81418596,81.00432201,-2.701861735,-74.03884705,-35.13644836,23.68,39.87,63.41,1015.04,1,1
53:00.2,23.3487411,94.81287044,81.00535239,-2.700561206,-74.04037583,-35.13934225,23.68,39.87,63.41,1015.04,1,1
53:01.2,23.3500363,94.81415959,81.00449544,-2.702133203,-74.04022044,-35.13784452,23.68,39.87,63.41,1015.04,1,1
53:02.2,23.34956866,94.81391239,81.0050247,-2.701384369,-74.03999031,-35.13812774,23.68,39.87,63.41,1015.06,1,1
53:03.2,23.34990568,94.81418095,81.00500483,-2.701649722,-74.04017866,-35.1379797,23.68,39.87,63.41,1015.04,1,1
53:04.2,23.3489511,94.81381265,81.00580534,-2.700971936,-74.04121121,-35.1397471,23.68,39.87,63.41,1014.99,1,1
53:05.1,23.34950737,94.81392306,81.00444217,-2.701879919,-74.03988459,-35.13798895,23.68,39.87,63.41,1015.03,1,1
53:06.2,23.3510844,94.81386689,81.00272838,-2.702553699,-74.03690714,-35.13409454,23.68,39.87,63.41,1015,1,1
