Time,GyroX,GyroY,GyroZ,AcceX,AcceY,AcceZ,MagnX,MagnY,MagnZ,Baro,Result,TrueResult
38:05.9,-0.001474188,-0.003208025,-0.00146083,0.005600334,0.012808438,0.01231261,29.68,1.65,107.63,1008.07,1,1
38:06.9,15.35683344,18.08283914,7.262540084,-6.952330452,-7.047718687,7.166574948,29.68,1.65,107.63,1008.05,1,1
38:07.9,-18.066154,20.72427272,56.17861822,16.50799242,-66.18981141,-55.35375152,29.68,1.65,107.63,1008.12,1,1
38:08.9,13.55520075,68.32322269,52.07605668,-18.73198931,-76.57485511,-33.10198005,29.68,1.65,107.63,1008.05,1,1
38:09.9,8.263112572,78.06806627,70.92353455,-4.7482466,-73.26883383,-35.95880728,29.68,1.65,107.63,1008.07,1,1
38:10.9,8.26782871,78.0716768,70.91992247,-4.752961627,-73.26576148,-35.95141809,29.68,1.65,107.63,1008.11,1,1
38:11.9,8.265314849,78.06954258,70.9224722,-4.749328515,-73.26614769,-35.9544517,29.68,1.65,107.63,1008.08,1,1
38:12.9,8.26454251,78.06939577,70.92291777,-4.749671034,-73.26878458,-35.95733286,29.68,1.65,107.63,1008.06,1,1
38:13.9,8.266265665,78.07114604,70.92163307,-4.751461468,-73.26726895,-35.95420479,29.68,1.65,107.63,1008.04,1,1
38:14.9,8.265598881,78.06969537,70.92124707,-4.750310499,-73.26541745,-35.95340381,29.68,1.65,107.63,1008.08,1,1
38:15.9,8.266473535,78.06922183,70.92010081,-4.750839921,-73.26439832,-35.95185161,29.68,1.65,107.63,1008.09,1,1
38:16.9,8.264822673,78.06824196,70.92176314,-4.749395292,-73.2666742,-35.95544705,29.68,1.65,107.63,1008.08,1,1
38:18.0,8.265571638,78.06981442,70.92177401,-4.750696772,-73.26775158,-35.95544913,29.68,1.65,107.63,1008.13,1,1
38:18.9,8.266606826,78.07147634,70.92236273,-4.751095815,-73.26752166,-35.95421518,29.68,1.65,107.63,1008.11,1,1
38:19.9,8.264286359,78.07067525,70.92478035,-4.749118231,-73.27017648,-35.95868547,29.68,1.65,107.63,1008.08,1,1
38:20.9,8.266000361,78.07248833,70.92336627,-4.751318645,-73.26940687,-35.95615744,29.68,1.65,107.63,1008.07,1,1
38:21.9,8.266020435,78.07177633,70.92274209,-4.750713417,-73.26712574,-35.95429031,29.68,1.65,107.63,1008.07,1,1
38:22.9,8.265671872,78.07019881,70.92194909,-4.75023131,-73.26623472,-35.95403785,29.68,1.65,107.63,1008.07,1,1
38:23.9,8.265593811,78.06948911,70.9214394,-4.750295438,-73.26621797,-35.95416806,29.68,1.65,107.63,1008.09,1,1
38:24.9,8.265930837,78.06975767,70.92141953,-4.750560791,-73.26640631,-35.95402001,29.68,1.65,107.63,1008.07,1,1
38:25.9,8.264976256,78.06938937,70.92222004,-4.749883005,-73.26743887,-35.95578742,29.68,1.65,107.63,1008.07,1,1
38:26.9,8.266209987,78.07036557,70.92124229,-4.751115626,-73.26649625,-35.95372497,29.68,1.65,107.63,1008.06,1,1
38:27.9,8.265397818,78.06939035,70.92153196,-4.750095004,-73.26610228,-35.9542511,29.68,1.65,107.63,1008.09,1,1
38:28.8,8.266277622,78.06976564,70.92093824,-4.750834757,-73.26580951,-35.95319344,29.68,1.65,107.63,1008.07,1,1
38:29.9,8.264706706,78.06890888,70.92222721,-4.749540605,-73.26731294,-35.9559917,29.68,1.65,107.63,1008.08,1,1
38:30.9,8.266414764,78.07045905,70.92114278,-4.751316072,-73.26660535,-35.95363529,29.68,1.65,107.63,1008.12,1,1
38:31.9,8.265872844,78.07041594,70.92246875,-4.75021061,-73.26715329,-35.95470592,29.68,1.65,107.63,1008.1,1,1
38:32.9,8.2646374,78.07034994,70.92386784,-4.749598248,-73.26956657,-35.95786127,29.68,1.65,107.63,1008.11,1,1
38:33.9,8.266489615,78.07253195,70.92311902,-4.751445007,-73.2689104,-35.95534838,29.68,1.65,107.63,1008.07,1,1
38:34.9,8.264798753,78.07118076,70.92400153,-4.749684644,-73.26880839,-35.95693134,29.68,1.65,107.63,1008.07,1,1
38:35.9,8.266573086,78.07154633,70.92173256,-4.751393823,-73.2666273,-35.95337892,29.68,1.65,107.63,1008.09,1,1
38:36.9,8.265684406,78.07005794,70.92210164,-4.750018786,-73.2662541,-35.95411206,29.68,1.65,107.63,1008.09,1,1
38:37.9,8.265260535,78.06972762,70.92236369,-4.750012836,-73.26758251,-35.95565574,29.68,1.65,107.63,1008.07,1,1
