Time,GyroX,GyroY,GyroZ,AcceX,AcceY,AcceZ,MagnX,MagnY,MagnZ,Baro,Result,TrueResult,TimeB,BaroB
24:15.9,-0.000479586,0.000762759,0.006721574,0.011790895,0.000309363,-0.03216329,-37.93,5.1,12.74,1008.15,1,1,24:15.8,1008.7
24:16.9,4.843329425,-3.627559599,6.056171718,24.54852391,22.10394523,-7.220488728,-37.93,5.1,12.74,1008.19,1,1,24:16.8,1008.7
24:17.9,-101.5429957,-101.6847762,115.9132755,369.151044,403.7728223,225.8303233,-37.93,5.1,12.74,1008.15,1,1,24:17.8,1008.69
24:18.9,-85.2792398,-145.9727654,86.33817897,390.9596773,435.6285505,222.5863528,-37.93,5.1,12.74,1008.17,1,1,24:18.8,1008.7
24:19.9,-81.69224923,-148.5434347,83.5708912,390.0171152,435.6128499,222.5749617,-37.93,5.1,12.74,1008.15,1,1,24:19.9,1008.7
24:21.0,-81.69461843,-148.5442628,83.57366353,390.0232446,435.619851,222.5801768,-37.93,5.1,12.74,1008.16,1,1,24:20.8,1008.67
24:21.9,-81.69297569,-148.543283,83.57140489,390.0168104,435.611608,222.5742077,-37.93,5.1,12.74,1008.16,1,1,24:21.8,1008.64
24:22.9,-81.69277813,-148.5440279,83.57054696,390.0185522,435.6171803,222.5798509,-37.93,5.1,12.74,1008.12,1,1,24:22.9,1008.68
24:24.0,-81.6919552,-148.542656,83.57016228,390.017561,435.61833,222.5823736,-37.93,5.1,12.74,1008.12,1,1,24:23.8,1008.69
24:24.9,-81.69105072,-148.5382663,83.56997317,390.0058342,435.5983068,222.5668824,-37.93,5.1,12.74,1008.15,1,1,24:24.8,1008.67
24:25.9,-81.69195644,-148.5394789,83.57021653,390.0067866,435.5981165,222.5656008,-37.93,5.1,12.74,1008.16,1,1,24:25.8,1008.67
24:26.9,-81.69284342,-148.5424365,83.57096691,390.015771,435.6125186,222.5764629,-37.93,5.1,12.74,1008.13,1,1,24:26.9,1008.66
24:27.9,-81.6930633,-148.5427087,83.57144535,390.0181033,435.6163938,222.5799772,-37.93,5.1,12.74,1008.16,1,1,24:27.8,1008.72
24:28.9,-81.6907591,-148.5402477,83.56942198,390.0097726,435.6051018,222.5711831,-37.93,5.1,12.74,1008.18,1,1,24:28.9,1008.7
24:30.0,-81.69490012,-148.5423724,83.57450778,390.0202733,435.6139761,222.5755887,-37.93,5.1,12.74,1008.19,1,1,24:29.8,1008.73
24:30.9,-81.69497883,-148.5462519,83.57401086,390.0277726,435.6255955,222.5828924,-37.93,5.1,12.74,1008.19,1,1,24:30.8,1008.74
24:31.9,-81.69604178,-148.5467182,83.5759949,390.0314056,435.628122,222.5837581,-37.93,5.1,12.74,1008.17,1,1,24:31.8,1008.73
24:32.9,-81.69644164,-148.5476996,83.5760094,390.0320298,435.6278346,222.5827852,-37.93,5.1,12.74,1008.18,1,1,24:32.8,1008.69
24:33.9,-81.69463704,-148.5466683,83.57336536,390.0251037,435.6198305,222.5775826,-37.93,5.1,12.74,1008.19,1,1,24:33.9,1008.78
24:34.9,-81.69431546,-148.5466984,83.57370144,390.0285028,435.6268858,222.583363,-37.93,5.1,12.74,1008.18,1,1,24:34.8,1008.73
24:35.9,-81.69775835,-148.5464246,83.57842176,390.0323251,435.6247628,222.5797924,-37.93,5.1,12.74,1008.21,1,1,24:35.9,1008.77
24:36.9,-81.69538781,-148.5486689,83.57451068,390.0306393,435.6258597,222.5798188,-37.93,5.1,12.74,1008.17,1,1,24:36.8,1008.77
24:37.9,-81.69864664,-148.5493499,83.57927911,390.0396677,435.6348234,222.5861959,-37.93,5.1,12.74,1008.23,1,1,24:37.9,1008.7
