Time,GyroX,GyroY,GyroZ,AcceX,AcceY,AcceZ,MagnX,MagnY,MagnZ,Baro,Result,TrueResult,TimeB,BaroB
16:15.1,0.0249047,0.041699589,-0.046412843,-0.242149151,-0.293256967,0.082466432,0.681722444,0.775738676,-0.028664019,1014.78,1,1,16:15.5,1015.34
16:16.1,4.334121394,-1.985915114,7.808770425,23.42991381,19.37120401,-6.767594975,-21.22764994,0.10471911,26.88199771,1014.84,1,1,16:16.5,1015.3
16:17.1,-99.90454781,-74.17559494,164.7745216,413.9819309,424.5467684,225.7152918,103.9359059,227.4141735,412.0334068,1014.77,1,1,16:17.5,1015.3
16:18.1,-83.71843716,-119.8386115,132.9040607,434.4593638,456.3389484,222.5914761,78.65199291,222.1884901,436.2139292,1014.74,-1,1,16:18.5,1015.26
16:19.1,-77.41001294,-121.16208,129.4299416,431.8074679,454.7487728,221.7126043,78.47488303,222.4170716,436.5368952,1014.79,-1,1,16:19.4,1015.3
16:20.1,-77.16572187,-122.3475605,126.6505916,428.6018844,452.488469,220.7747525,78.31300807,222.504706,436.791525,1014.78,-1,1,16:20.5,1015.29
16:21.1,-76.76109668,-122.2696643,126.0401896,427.7002698,451.955709,220.8435162,78.60204857,222.4660494,436.3069814,1014.8,-1,1,16:21.5,1015.33
16:22.1,-76.508956,-121.7298676,126.6494361,428.0647207,452.0062966,220.746741,78.52784047,222.4707575,436.3908147,1014.79,-1,1,16:22.4,1015.3
16:23.1,-76.50071958,-121.3948753,127.154328,428.3672524,451.883416,220.4626081,78.60883735,222.9950438,436.650971,1014.8,1,1,16:23.5,1015.3
16:24.1,-76.60048166,-122.4924867,125.7035908,427.3317692,451.5833881,220.6534786,78.76074372,222.7753143,436.2849006,1014.79,1,1,16:24.5,1015.31
16:25.1,-77.04171399,-122.6654882,125.9220695,427.9193195,452.4519451,221.5569088,79.34399222,222.8667302,436.0792526,1014.74,1,1,16:25.5,1015.34
16:26.1,-76.9890274,-122.5864936,125.9596347,427.9178061,452.4473279,221.5590917,79.34054483,222.8597808,436.0878965,1014.81,1,1,16:26.5,1015.32
16:27.0,-76.98852535,-122.583188,125.9569483,427.9034102,452.4248953,221.5411284,79.33808491,222.8725264,436.1047769,1014.83,-1,1,16:27.5,1015.31
16:28.1,-77.02731396,-122.6051181,125.9738392,427.9404671,452.4440456,221.5362215,79.34026867,222.8944118,436.1101068,1014.8,-1,1,16:28.5,1015.3
16:29.1,-77.08180962,-122.4879113,126.1384337,427.8113187,451.8333233,220.6837275,78.7212785,222.7551108,436.2688795,1014.81,-1,1,16:29.5,1015.31
16:30.1,-77.12085643,-122.520069,126.153679,427.8355426,451.8205395,220.6476438,78.7061932,222.7696848,436.2796809,1014.81,1,1,16:30.5,1015.31
16:31.1,-77.0858634,-122.5048506,126.1424987,427.8233458,451.8358273,220.6775838,78.70873157,222.7384128,436.2651868,1014.77,1,1,16:31.5,1015.35
16:32.1,-77.03135353,-122.623554,125.9784324,427.9583203,452.45594,221.5374551,79.32890322,222.8732623,436.1006166,1014.77,1,1,16:32.5,1015.36
16:33.1,-76.98882956,-122.5854695,125.959927,427.9134337,452.4372329,221.5494526,79.34100027,222.873662,436.1073541,1014.74,1,1,16:33.5,1015.31
16:34.1,-76.99185897,-122.5864757,125.9601426,427.9134737,452.4359786,221.548342,79.34219684,222.8770069,436.1106928,1014.75,1,1,16:34.5,1015.31
16:35.1,-76.98815791,-122.5844618,125.9554305,427.9030349,452.426356,221.5430724,79.33648973,222.8638961,436.0912891,1014.77,1,1,16:35.5,1015.32
16:36.1,-76.98905611,-122.5834253,125.9571761,427.9053713,452.4297242,221.5463792,79.33782358,222.863136,436.0902648,1014.74,1,1,16:36.5,1015.32
16:37.1,-76.99082026,-122.5848493,125.9591959,427.9117133,452.4374545,221.5518054,79.34027006,222.8647982,436.0929408,1014.78,1,1,16:37.4,1015.33
16:38.1,-76.98841922,-122.5831243,125.9565499,427.9030448,452.4256354,221.5424883,79.33718396,222.8668519,436.0958568,1014.77,1,1,16:38.5,1015.33
16:39.1,-76.99169929,-122.5861208,125.9602697,427.915638,452.4416899,221.5538794,79.3409429,222.8669484,436.0973853,1014.73,1,1,16:39.5,1015.36
16:40.1,-76.99080464,-122.5856301,125.9595147,427.9130373,452.437794,221.550723,79.34024282,222.8680615,436.0981534,1014.74,1,1,16:40.5,1015.34
16:41.1,-76.98946807,-122.5824413,125.9580559,427.9011597,452.4186554,221.5359253,79.33963551,222.8805151,436.1132569,1014.77,1,1,16:41.5,1015.3
16:42.1,-76.98977191,-122.5842504,125.9573069,427.9038089,452.4242181,221.5404328,79.33856859,222.8732578,436.1041442,1014.72,1,1,16:42.5,1015.33
