Time,GyroX,GyroY,GyroZ,AcceX,AcceY,AcceZ,MagnX,MagnY,MagnZ,Baro,Result,TrueResult
38:05.9,-0.001474188,-0.003208025,-0.00146083,0.005600334,0.012808438,0.01231261,-0.021356153,-0.077069319,-0.164079008,1008.07,1,1
38:06.9,15.35683344,18.08283914,7.262540084,-6.952330452,-7.047718687,7.166574948,13.75375439,-1.007037713,-17.5554853,1008.05,1,1
38:07.9,-18.066154,20.72427272,56.17861822,16.50799242,-66.18981141,-55.35375152,124.5377451,360.2995684,447.4536068,1008.12,1,1
38:08.9,13.55520075,68.32322269,52.07605668,-18.73198931,-76.57485511,-33.10198005,141.1309103,349.9420496,430.6998387,1008.05,1,1
38:09.9,8.263112572,78.06806627,70.92353455,-4.7482466,-73.26883383,-35.95880728,138.2743536,349.0289938,430.727801,1008.07,1,1
38:10.9,8.26782871,78.0716768,70.91992247,-4.752961627,-73.26576148,-35.95141809,138.2712042,349.0066933,430.6961756,1008.11,1,1
38:11.9,8.265314849,78.06954258,70.9224722,-4.749328515,-73.26614769,-35.9544517,138.2716917,349.0134686,430.7052829,1008.08,1,1
38:12.9,8.26454251,78.06939577,70.92291777,-4.749671034,-73.26878458,-35.95733286,138.2745015,349.0257429,430.7226544,1008.06,1,1
38:13.9,8.266265665,78.07114604,70.92163307,-4.751461468,-73.26726895,-35.95420479,138.2728511,349.0160582,430.7094137,1008.04,1,1
38:14.9,8.265598881,78.06969537,70.92124707,-4.750310499,-73.26541745,-35.95340381,138.2705985,349.0100796,430.7016549,1008.08,1,1
38:15.9,8.266473535,78.06922183,70.92010081,-4.750839921,-73.26439832,-35.95185161,138.2695445,349.0041002,430.692715,1008.09,1,1
38:16.9,8.264822673,78.06824196,70.92176314,-4.749395292,-73.2666742,-35.95544705,138.272076,349.016701,430.7100866,1008.08,1,1
38:18.0,8.265571638,78.06981442,70.92177401,-4.750696772,-73.26775158,-35.95544913,138.27336,349.0194581,430.7138806,1008.13,1,1
38:18.9,8.266606826,78.07147634,70.92236273,-4.751095815,-73.26752166,-35.95421518,138.2734469,349.0162507,430.7085666,1008.11,1,1
38:19.9,8.264286359,78.07067525,70.92478035,-4.749118231,-73.27017648,-35.95868547,138.2763254,349.031823,430.7305766,1008.08,1,1
38:20.9,8.266000361,78.07248833,70.92336627,-4.751318645,-73.26940687,-35.95615744,138.2754641,349.0251731,430.7216367,1008.07,1,1
