Time,GyroX,GyroY,GyroZ,AcceX,AcceY,AcceZ,MagnX,MagnY,MagnZ,Baro,Result,TrueResult,TimeB,BaroB
40:50.1,0.000844487,0.001154892,-0.001260732,-0.004983127,-0.004310338,0.00310022,0.032144378,0.041197498,-0.10253368,1014.96,1,1,40:50.4,1015.52
40:51.1,15.3811944,18.10785895,7.004054571,-7.23942657,-6.930026434,7.548467146,13.80462124,-1.413700879,-17.74778606,1014.91,1,1,40:51.5,1015.56
40:52.2,-18.4370557,22.81173993,57.42873918,11.82611678,-78.67588774,-71.97649616,110.1335754,352.2408077,445.4248034,1014.96,1,1,40:52.4,1015.56
40:53.2,13.44182694,70.38776373,53.07243271,-23.5043867,-88.89029176,-49.59026154,126.6158716,341.6798176,428.6176454,1014.96,1,1,40:53.5,1015.56
40:54.2,7.619762749,79.7797844,71.79488774,-9.486117587,-85.50031251,-52.39161617,123.7734168,340.7545029,428.636331,1015.01,1,1,40:54.4,1015.55
40:55.1,7.622135802,79.78265301,71.79435319,-9.488831483,-85.50148655,-52.3901458,123.7751183,340.754122,428.634643,1014.98,1,1,40:55.5,1015.53
40:56.1,7.619694001,79.78246497,71.79737576,-9.486589376,-85.50404498,-52.39457141,123.7779225,340.7695644,428.656653,1014.93,1,1,40:56.4,1015.51
40:57.2,7.621414416,79.78401947,71.79550291,-9.488798372,-85.50249269,-52.39136734,123.7760847,340.759797,428.6437497,1014.95,1,1,40:57.5,1015.55
40:58.2,7.622251733,79.7833705,71.79416507,-9.488593547,-85.49913237,-52.38787862,123.7723453,340.7445243,428.6224133,1014.97,1,1,40:58.5,1015.52
40:59.2,7.620664192,79.78107459,71.79480766,-9.48687018,-85.49996575,-52.39036382,123.7731775,340.7512054,428.6315206,1014.94,1,1,40:59.5,1015.54
41:00.1,7.620446711,79.78110328,71.79464397,-9.487489657,-85.50134453,-52.39164945,123.7745894,340.7572609,428.6402904,1014.96,1,1,41:00.5,1015.52
41:01.2,7.622163896,79.78259059,71.79368894,-9.488855057,-85.49989088,-52.38869309,123.7731458,340.7477704,428.6267122,1014.96,1,1,41:01.5,1015.52
41:02.1,7.620528503,79.78128956,71.79502196,-9.48700918,-85.50063819,-52.39101238,123.7739118,340.7542191,428.6358194,1014.93,1,1,41:03.2,1015.54
41:03.1,7.620865885,79.78149359,71.794249,-9.487905489,-85.50075879,-52.39070259,123.7739258,340.7540557,428.6359876,1014.94,1,1,41:03.4,1015.51
41:04.1,7.621899616,79.78185232,71.79323825,-9.488521352,-85.49898319,-52.38822211,123.7719953,340.7447396,428.6229155,1014.97,1,1,41:04.4,1015.56
41:05.1,7.621142955,79.78092712,71.79397838,-9.487415121,-85.49943847,-52.38948463,123.7725608,340.7481185,428.6272157,1014.95,1,1,41:05.5,1015.54
41:06.1,7.620314776,79.78079469,71.79472654,-9.487212206,-85.50129381,-52.39179123,123.7745541,340.7573488,428.6402864,1014.95,1,1,41:06.4,1015.53
41:07.1,7.621757537,79.78232575,71.79391129,-9.488651684,-85.50043824,-52.38954675,123.773706,340.7508707,428.6311778,1014.97,1,1,41:07.6,1015.52
41:08.2,7.621286915,79.78194709,71.79460538,-9.487690344,-85.5002391,-52.3899158,123.7735532,340.7510285,428.6311771,1015,1,1,41:08.5,1015.55
41:09.1,7.621139687,79.78229043,71.79544498,-9.487608255,-85.50172683,-52.39132787,123.7753674,340.7572583,428.6392719,1014.97,1,1,41:09.4,1015.5
41:10.2,7.620255238,79.78269375,71.79662482,-9.487276192,-85.50352121,-52.39356434,123.7773138,340.7663679,428.6523427,1014.9,1,1,41:10.4,1015.47
41:11.2,7.621026922,79.78310058,71.79496541,-9.488399701,-85.50149899,-52.39094802,123.7747954,340.7567525,428.6401142,1014.98,1,1,41:11.5,1015.48
41:12.1,7.623491824,79.78335759,71.79278813,-9.489403314,-85.49748359,-52.3853967,123.7706004,340.7353216,428.6091638,1014.91,1,1,41:12.5,1015.49
41:13.2,7.618082729,79.77848382,71.79562504,-9.484767087,-85.50094153,-52.39378428,123.7738644,340.7607469,428.6459324,1015,1,1,41:13.5,1015.5
41:14.4,7.624345873,79.78339894,71.79167616,-9.490956489,-85.49870724,-52.38563395,123.7719976,340.7384311,428.6129571,1014.96,1,1,41:14.5,1015.52
41:15.2,7.618286786,79.77988188,71.79712673,-9.484750782,-85.50259794,-52.39494267,123.7760482,340.7668669,428.6535202,1014.98,1,1,41:15.5,1015.5
41:16.2,7.622848578,79.78403035,71.79406076,-9.490005962,-85.50172898,-52.38948074,123.7753984,340.7537349,428.6344602,1014.95,1,1,41:16.4,1015.53
41:17.1,7.620078163,79.78227174,71.79638536,-9.486674494,-85.50187437,-52.39236868,123.7753822,340.7601964,428.6442424,1014.96,1,1,41:17.5,1015.51
41:18.2,7.622049405,79.78312338,71.79431432,-9.48878791,-85.50055731,-52.38932019,123.7739641,340.7507574,428.630833,1014.98,1,1,41:18.5,1015.51
41:19.2,7.621027348,79.78217931,71.79532374,-9.48734584,-85.5008647,-52.3906945,123.7743361,340.7541137,428.6353018,1014.96,1,1,41:19.5,1015.54
41:20.1,7.620541585,79.78205744,71.79559405,-9.487416863,-85.50212652,-52.39217788,123.7756579,340.7602438,428.6440716,1014.94,1,1,41:20.4,1015.46
41:21.2,7.62143939,79.78276439,71.7946353,-9.48838408,-85.5009947,-52.39026268,123.7743581,340.753847,428.6354693,1014.97,1,1,41:21.5,1015.53
41:22.2,7.62185384,79.78250323,71.79427781,-9.488171174,-85.49972102,-52.3888988,123.7730284,340.7478175,428.626698,1014.98,1,1,41:22.5,1015.51
41:23.9,7.620545368,79.7815339,71.79546232,-9.487000357,-85.50140321,-52.39167094,123.7748882,340.757318,428.6397688,1014.97,1,1,41:23.5,1015.5
41:25.5,7.621020514,79.78262874,71.79548377,-9.487959693,-85.50235789,-52.39188012,123.7759983,340.7601637,428.6437309,1014.97,1,1,41:24.5,1015.49
41:25.5,7.621443837,79.78334726,71.79551332,-9.488169694,-85.5017793,-52.39092476,123.7754187,340.7569453,428.6392602,1014.98,1,1,41:25.5,1015.5
41:26.2,7.621241934,79.7831183,71.795773,-9.487756291,-85.50169676,-52.39109657,123.7753556,340.7570291,428.6392605,1014.99,1,1,41:26.5,1015.5
41:30.4,7.621100273,79.78320387,71.79615463,-9.487682493,-85.50240165,-52.39183238,123.7761934,340.7601417,428.6433923,1014.96,1,1,41:27.5,1015.48
41:30.4,7.620626792,79.78315186,71.79638943,-9.487557533,-85.50288701,-52.39262835,123.7766238,340.7631379,428.6480268,1014.96,1,1,41:28.5,1015.49
41:30.4,7.621866251,79.78373475,71.79511564,-9.488584993,-85.50119117,-52.38997644,123.7747544,340.7537382,428.6349564,1014.98,1,1,41:29.5,1015.49
41:30.4,7.6212511,79.7827251,71.79547457,-9.487552625,-85.50094103,-52.39050203,123.7744828,340.7540046,428.635125,1014.98,1,1,41:30.4,1015.5
41:31.2,7.620761165,79.78247251,71.79591068,-9.487411059,-85.50223455,-52.39207197,123.775908,340.7602327,428.6437268,1014.97,1,1,41:31.5,1015.47
41:32.1,7.621173726,79.78325508,71.79581221,-9.488031005,-85.50240278,-52.39171721,123.7761177,340.7600497,428.6435574,1014.96,1,1,41:32.5,1015.49
41:33.1,7.621251493,79.78324617,71.79560303,-9.487968994,-85.50166073,-52.39100524,123.7752525,340.7569262,428.6394246,1014.93,1,1,41:33.5,1015.49
41:34.2,7.620914396,79.78225898,71.79490387,-9.487705811,-85.50071343,-52.39057129,123.7739905,340.7539024,428.635798,1014.91,1,1,41:34.4,1015.49
41:35.2,7.621462543,79.78138912,71.79315298,-9.488191004,-85.49869147,-52.3884044,123.7715516,340.7446912,428.6234008,1014.95,1,1,41:35.4,1015.49
41:36.2,7.621933452,79.78059188,71.79236362,-9.488107056,-85.49747855,-52.38711076,123.7702687,340.7387826,428.6146297,1014.94,1,1,41:36.4,1015.51
41:37.2,7.62007655,79.77918862,71.79369861,-9.486668067,-85.49963638,-52.39080239,123.77255,340.7513847,428.6323387,1014.95,1,1,41:37.4,1015.51
41:38.2,7.621781207,79.78112871,71.79290809,-9.488647346,-85.4996804,-52.38903625,123.7727685,340.7479492,428.6271935,1014.95,1,1,41:38.5,1015.54
41:39.2,7.62090628,79.78094794,71.79408829,-9.487489057,-85.50000821,-52.39016824,123.7731563,340.7511009,428.6316624,1015,1,1,41:39.4,1015.53
41:40.2,7.621923748,79.78221375,71.79428901,-9.488291553,-85.50054957,-52.38963008,123.7740518,340.7510399,428.6306494,1014.97,1,1,41:40.5,1015.53
41:41.2,7.61974169,79.7817174,71.79661894,-9.48659146,-85.50325025,-52.39395362,123.7769656,340.7665191,428.6526593,1014.97,1,1,41:41.4,1015.49
41:42.2,7.622139654,79.7841376,71.79513144,-9.489125093,-85.50208195,-52.39044528,123.7758217,340.7567715,428.6389123,1014.95,1,1,41:42.4,1015.51
41:43.2,7.620723239,79.78274269,71.79587416,-9.487290709,-85.50138189,-52.39131632,123.7748848,340.7569842,428.6397553,1014.95,1,1,41:43.5,1015.51
41:44.2,7.62160384,79.78253208,71.79439825,-9.488245109,-85.50030075,-52.38959246,123.7736239,340.7508105,428.6311529,1014.94,1,1,41:44.4,1015.51
41:45.2,7.620921532,79.7814027,71.7943416,-9.487495475,-85.49997791,-52.39006758,123.7731369,340.750984,428.6316584,1014.95,1,1,41:45.5,1015.49
41:46.1,7.621530349,79.78143167,71.79359371,-9.488105367,-85.49953153,-52.38913163,123.772659,340.7479053,428.6271881,1014.98,1,1,41:46.5,1015.52
41:47.2,7.621321602,79.78146201,71.79431254,-9.48768379,-85.50023198,-52.38997908,123.7735727,340.7511059,428.631151,1014.98,1,1,41:47.4,1015.52
41:48.2,7.620634492,79.78183018,71.79556124,-9.48733982,-85.50216987,-52.39221493,123.7757888,340.7603257,428.6438841,1014.96,1,1,41:48.5,1015.5
41:49.2,7.621121626,79.78299352,71.79554732,-9.488101475,-85.50234763,-52.3917387,123.7760062,340.76004,428.6437147,1014.98,1,1,41:49.4,1015.5
41:50.2,7.621883646,79.78359173,71.79526452,-9.488372782,-85.50120672,-52.39004612,123.7748585,340.753819,428.6347748,1014.91,1,1,41:50.4,1015.5
41:51.2,7.619703675,79.78140208,71.79570093,-9.486685642,-85.50161005,-52.3925329,123.7748819,340.7601692,428.6448944,1014.96,1,1,41:51.5,1015.55
41:52.2,7.623456489,79.78314319,71.79237339,-9.489883708,-85.49815509,-52.38599887,123.7712782,340.7383265,428.6136065,1014.98,1,1,41:52.7,1015.55
41:53.2,7.619969243,79.78024526,71.79533649,-9.48597632,-85.500346,-52.39149646,123.7736397,340.7544407,428.6359539,1014.97,1,1,41:54.1,1015.46
41:54.2,7.620974475,79.78189943,71.7949487,-9.488023674,-85.50231732,-52.39198675,123.7759063,340.7602549,428.6438801,1014.95,1,1,41:54.5,1015.52
41:55.2,7.621270214,79.78290408,71.79516035,-9.488175004,-85.50163678,-52.3909968,123.7751685,340.7569214,428.6395785,1014.95,1,1,41:55.4,1015.52
41:56.1,7.621552204,79.78260111,71.79456088,-9.488109601,-85.50025524,-52.38960801,123.7735966,340.7507908,428.6311448,1015,1,1,41:56.5,1015.49
41:57.2,7.621747766,79.78243356,71.7947936,-9.487884989,-85.50042877,-52.38969253,123.7739696,340.7509974,428.6306381,1014.9,1,1,41:57.5,1015.52
41:58.2,7.618811987,79.78049397,71.79606452,-9.486136934,-85.50269856,-52.3943655,123.7759943,340.7664764,428.6538289,1014.94,1,1,41:58.5,1015.5
41:59.1,7.624148446,79.7836813,71.79154084,-9.490847993,-85.49768297,-52.38485095,123.7707047,340.7350431,428.609301,1014.97,1,1,41:59.5,1015.5
42:00.2,7.620122362,79.77976508,71.7946547,-9.485845916,-85.49888266,-52.39016359,123.771929,340.7483009,428.627685,1014.92,1,1,42:00.4,1015.54
42:01.2,7.620164042,79.78000705,71.79392759,-9.487423788,-85.50112439,-52.39185154,123.7742201,340.7573163,428.6407556,1014.93,1,1,42:01.5,1015.54
42:02.2,7.622574619,79.78197439,71.7922755,-9.489343559,-85.4984584,-52.38715296,123.771414,340.7415137,428.6185756,1014.94,1,1,42:02.5,1015.54
42:03.2,7.620804289,79.77997858,71.79340224,-9.487016299,-85.49840815,-52.38902875,123.7712716,340.7450354,428.6235507,1014.94,1,1,42:03.4,1015.53
42:04.2,7.62106166,79.78005961,71.79300269,-9.487762155,-85.49930123,-52.38951611,123.7722542,340.7480916,428.6276822,1014.96,1,1,42:04.5,1015.55
42:05.2,7.621542785,79.78096012,71.79331849,-9.488098871,-85.49954106,-52.38921153,123.7726785,340.7480003,428.6271753,1014.93,1,1,42:05.5,1015.54
42:06.2,7.62038778,79.78049574,71.79421507,-9.487220661,-85.50046124,-52.39106529,123.7735778,340.7541788,428.6362826,1014.93,1,1,42:06.4,1015.54
42:07.1,7.621963865,79.7814826,71.79275954,-9.488727258,-85.49892515,-52.3881796,123.7719115,340.7446988,428.6230419,1014.95,1,1,42:07.4,1015.49
42:08.2,7.621284192,79.78054905,71.79329114,-9.487559022,-85.49863897,-52.38873075,123.7716118,340.7449551,428.62321,1014.91,1,1,42:08.4,1015.45
42:09.2,7.620253358,79.7796033,71.79341807,-9.487157927,-85.49962466,-52.3905433,123.772482,340.7511664,428.6324859,1014.89,1,1,42:09.5,1015.49
42:10.2,7.621900865,79.7802544,71.79133053,-9.488808569,-85.49734139,-52.38695607,123.7698665,340.7385782,428.6152817,1014.94,1,1,42:10.5,1015.52
42:11.1,7.622038457,79.77938389,71.79114845,-9.488040775,-85.49597606,-52.38588562,123.7684662,340.7327351,428.6065106,1014.93,1,1,42:11.5,1015.5
42:12.2,7.619904095,79.77789286,71.79278808,-9.486463255,-85.49876293,-52.39037506,123.7714463,340.7484467,428.6285206,1014.91,1,1,42:12.4,1015.52
42:13.2,7.621476174,79.77979137,71.79175571,-9.488590164,-85.4986992,-52.38858389,123.7714227,340.7449101,428.6237127,1014.9,1,1,42:14.2,1015.51
42:14.2,7.621427937,79.7795464,71.79159858,-9.488053295,-85.49713411,-52.38733249,123.7696297,340.7387479,428.6154478,1014.91,1,1,42:14.5,1015.46
42:15.1,7.621423917,79.77869691,71.79104515,-9.487842999,-85.49640695,-52.38683712,123.7687761,340.7358383,428.6113149,1014.93,1,1,42:15.4,1015.48
42:16.2,7.621209538,79.77839992,71.79134058,-9.487627479,-85.49710172,-52.38769442,123.7696059,340.7390533,428.6154465,1014.92,1,1,42:16.5,1015.52
42:17.2,7.620729285,79.77860559,71.79203442,-9.487492539,-85.4983693,-52.38916786,123.7710117,340.7451689,428.6240475,1014.93,1,1,42:17.5,1015.53
42:18.2,7.62169129,79.77982127,71.79178463,-9.488380597,-85.49806138,-52.38789334,123.7707998,340.7418842,428.6192398,1014.93,1,1,42:18.5,1015.5
42:19.2,7.620946241,79.77948634,71.7926185,-9.487493303,-85.49846031,-52.38897431,123.7712424,340.7450543,428.6237087,1014.9,1,1,42:19.4,1015.5
42:20.2,7.620879759,79.77936689,71.79220255,-9.487776353,-85.49838723,-52.388923,123.7710276,340.7449615,428.6240455,1014.91,1,1,42:20.4,1015.5
42:21.2,7.621978482,79.77964843,71.79101858,-9.48852767,-85.49664715,-52.38641703,123.7691244,340.7356547,428.6109735,1014.95,1,1,42:21.5,1015.51
42:22.2,7.621357331,79.7788964,71.79183579,-9.487486377,-85.49717923,-52.38761867,123.7698287,340.7390375,428.6151049,1014.94,1,1,42:22.5,1015.5
42:23.2,7.620322295,79.77892647,71.79313882,-9.487074432,-85.49970487,-52.39068768,123.7726323,340.7513721,428.6323078,1014.92,1,1,42:23.5,1015.45
42:24.2,7.621425679,79.78057834,71.79263652,-9.488452438,-85.49941179,-52.38918063,123.7723523,340.747897,428.6276688,1014.91,1,1,42:24.4,1015.5
42:25.2,7.62144231,79.78025638,71.79230629,-9.488051101,-85.49788231,-52.38790369,123.7705868,340.741744,428.6194038,1014.94,1,1,42:25.4,1015.5
42:26.2,7.621709259,79.7797532,71.79190705,-9.487970644,-85.49730875,-52.38728662,123.7700108,340.7388424,428.6149335,1014.91,1,1,42:26.5,1015.48
42:27.2,7.620132734,79.77856913,71.7927726,-9.486882603,-85.49880652,-52.39009468,123.7714896,340.748238,428.6285104,1014.88,1,1,42:27.5,1015.54
42:28.2,7.621641226,79.77943721,71.790902,-9.488672237,-85.49719815,-52.3871585,123.7696085,340.7386661,428.6156071,1014.89,1,1,42:28.5,1015.55
42:29.2,7.621788204,79.77843958,71.79009632,-9.488125515,-85.49501914,-52.38532618,123.7671282,340.7296084,428.6030413,1014.92,1,1,42:29.5,1015.51
