Time,GyroX,GyroY,GyroZ,AcceX,AcceY,AcceZ,MagnX,MagnY,MagnZ,Baro,Result,TrueResult,TimeB,BaroB
30:50.3,0.00130615,0.003271445,0.001667986,-0.006913507,-0.017130485,-0.015345746,0.020161127,0.037969914,-0.060581083,1008.38,1,1,30:50.3,1009.04
30:51.8,4.662312977,-3.13615088,6.607773423,24.2432714,21.26153815,-7.220309173,-24.61971201,-1.349209349,32.05159416,1008.36,1,1,30:51.3,1009.01
30:52.8,-95.38788315,-83.1137602,139.0232829,384.4589206,406.7624041,222.8224041,106.9774551,227.5191875,408.5754797,1008.39,1,1,30:52.4,1008.98
30:53.8,-79.74013351,-127.2773698,110.0376701,406.4740863,438.3017625,219.4025791,82.00459946,221.897806,431.1494666,1008.36,1,1,30:53.3,1009.01
30:54.9,-76.15686436,-129.8527022,107.2752269,405.5517598,438.3154602,219.414289,82.0055379,221.8866099,431.1341147,1008.42,1,1,30:54.3,1009.01
30:55.8,-76.15520068,-129.8498179,107.274129,405.5430634,438.3015034,219.4029924,82.00480339,221.8976439,431.1496647,1008.37,1,1,30:55.4,1009.02
30:56.8,-76.15983336,-129.85508,107.2788986,405.5621721,438.3267975,219.4210591,82.00932621,221.8934236,431.145564,1008.39,1,1,30:56.3,1009.04
30:57.8,-76.15595356,-129.8516446,107.2750419,405.5474091,438.3059635,219.404978,82.00569113,221.9002001,431.1539283,1008.39,1,1,30:57.4,1008.99
30:58.8,-76.1585789,-129.8533866,107.2773845,405.5534797,438.3124728,219.4094631,82.00897871,221.9047838,431.1604095,1008.41,1,1,30:58.3,1009.03
30:59.8,-76.15645234,-129.8542093,107.2747742,405.5533381,438.3166515,219.4132712,82.00448825,221.889232,431.1402479,1008.36,1,1,30:59.3,1009
31:00.8,-76.15919313,-129.8540197,107.2785645,405.5587547,438.3210832,219.4167995,82.01043725,221.9002352,431.1542906,1008.36,1,1,31:00.4,1009.02
31:01.8,-76.15512162,-129.8512204,107.273354,405.5436623,438.3024872,219.4034033,82.00408548,221.8950644,431.1453496,1008.39,1,1,31:01.4,1009.02
31:02.9,-76.15627131,-129.8500653,107.2751814,405.5437135,438.3004998,219.4017322,82.00581543,221.9013163,431.1536796,1008.34,1,1,31:02.4,1009.04
31:03.9,-76.15861614,-129.8527474,107.2776883,405.5534992,438.3132105,219.4107048,82.00818501,221.899428,431.1515914,1008.39,1,1,31:03.4,1009.04
31:05.2,-76.15535427,-129.8492955,107.2743416,405.5388439,438.2916291,219.3937596,82.00509889,221.9091097,431.1642698,1008.42,1,1,31:04.3,1009.03
31:05.8,-76.15895679,-129.8538809,107.277932,405.55475,438.3131267,219.4088548,82.00807595,221.9050036,431.1615864,1008.42,1,1,31:05.5,1008.99
31:06.8,-76.15935083,-129.856979,107.2780287,405.5630854,438.3270081,219.4195432,82.00934473,221.8988705,431.1553409,1008.36,1,1,31:06.4,1009.02
31:07.8,-76.15798743,-129.856365,107.2766018,405.5619483,438.3290222,219.4228896,82.0073822,221.8869954,431.1376095,1008.37,1,1,31:07.3,1009.01
31:08.8,-76.15534384,-129.850163,107.2743119,405.5432358,438.3008014,219.402244,82.00595278,221.901075,431.1535603,1008.38,1,1,31:08.3,1009.01
31:09.8,-76.15673667,-129.8514303,107.2751832,405.5467588,438.3055239,219.4055388,82.00574087,221.8974691,431.1488008,1008.39,1,1,31:09.4,1009.02
31:10.8,-76.15698693,-129.8521061,107.2757855,405.5498619,438.3100049,219.4087282,82.00626132,221.8965544,431.1484659,1008.35,1,1,31:10.4,1008.99
31:11.8,-76.15801591,-129.8528505,107.2766946,405.5524865,438.3130642,219.4112452,82.00843578,221.8989469,431.1511452,1008.36,1,1,31:11.4,1009.04
31:12.8,-76.15450174,-129.849844,107.2728849,405.540402,438.2984779,219.4009651,82.00293937,221.8930992,431.1417078,1008.38,1,1,31:12.4,1008.99
31:13.8,-76.15715411,-129.8496698,107.2761299,405.5434804,438.2986256,219.4003058,82.00783101,221.9075481,431.1615556,1008.37,1,1,31:13.4,1009.01
31:14.8,-76.15674316,-129.8528513,107.2747326,405.549666,438.3112192,219.4101038,82.00491365,221.890572,431.139746,1008.4,1,1,31:14.4,1009.02
31:15.8,-76.15604914,-129.8508026,107.2750607,405.5463936,438.3056314,219.4058718,82.00569474,221.8972451,431.14907,1008.37,1,1,31:15.4,1009.01
31:16.8,-76.15875084,-129.8535916,107.2777088,405.5560699,438.3176561,219.4141631,82.0087057,221.8981609,431.1511371,1008.42,1,1,31:16.7,1008.95
31:17.8,-76.15550657,-129.85231,107.2733363,405.5459618,438.3061685,219.4061885,82.00524021,221.8965344,431.1490319,1008.36,1,1,31:17.4,1008.95
31:18.9,-76.15735848,-129.855388,107.2748898,405.5592253,438.32981,219.4265124,82.00598378,221.8745499,431.1188529,1008.4,1,1,31:18.3,1009.01
31:20.3,-76.15274321,-129.8488613,107.2712861,405.5406906,438.3046716,219.4083765,82.00144858,221.8791537,431.1235024,1008.36,1,1,31:19.3,1009.02
31:20.9,-76.15876297,-129.8512349,107.2784585,405.5546968,438.3170032,219.4153918,82.00922455,221.8952749,431.1459218,1008.36,1,1,31:20.4,1009.03
31:22.3,-76.15612383,-129.8503275,107.2749754,405.5440041,438.3008828,219.4018114,82.00581644,221.9014985,431.1538824,1008.35,1,1,31:21.3,1009.03
31:22.9,-76.15703709,-129.8504117,107.2759184,405.5443538,438.299769,219.4006513,82.00679775,221.9049583,431.1578487,1008.35,1,1,31:21.4,1009.02
31:23.8,-76.1563929,-129.8499918,107.2749614,405.5412786,438.2955649,219.3975273,82.00603676,221.9057294,431.1584477,1008.41,1,1,31:22.4,1009
31:24.8,-76.15567556,-129.8503785,107.2738933,405.541011,438.2966985,219.3984427,82.00458272,221.9020385,431.1548406,1008.43,1,1,31:23.3,1009
31:26.2,-76.15838665,-129.855084,107.2769361,405.5589787,438.3237939,219.4187881,82.00710258,221.8907218,431.1428947,1008.41,1,1,31:24.3,1008.99
31:26.8,-76.15867173,-129.8564612,107.2775578,405.5645026,438.3325252,219.4255888,82.00873834,221.8888009,431.141414,1008.41,1,1,31:25.3,1009
31:27.8,-76.15689032,-129.8548956,107.27559,405.5582275,438.3248712,219.4202688,82.00649623,221.8872836,431.1385989,1008.4,1,1,31:26.4,1008.98
31:28.8,-76.15759634,-129.8543915,107.2763341,405.557879,438.3235326,219.419539,82.00781501,221.8904831,431.1421625,1008.38,1,1,31:27.4,1008.98
31:29.8,-76.15651845,-129.8537337,107.2747658,405.554326,438.3203148,219.4179883,82.00597206,221.8852945,431.1339525,1008.41,1,1,31:27.5,1009.01
31:30.8,-76.1552939,-129.8514269,107.2739856,405.5483994,438.3118733,219.4117226,82.00430915,221.8869187,431.1357308,1008.38,1,1,31:28.4,1009.01
31:31.8,-76.15875191,-129.8535049,107.2780562,405.5583507,438.322302,219.4184193,82.00899737,221.8941483,431.1461805,1008.37,1,1,31:29.5,1008.99
31:32.9,-76.15650661,-129.8523357,107.2749736,405.5492774,438.310045,219.4091597,82.00657071,221.8964079,431.1481639,1008.36,1,1,31:29.5,1008.99
31:33.8,-76.15572102,-129.8512351,107.2738475,405.5455288,438.3063756,219.4075197,82.00495802,221.8913208,431.1397583,1008.36,1,1,31:30.4,1008.99
31:34.8,-76.15528015,-129.8496383,107.2735899,405.5420103,438.3015882,219.4045364,82.00469978,221.8922018,431.1400005,1008.34,1,1,31:31.9,1008.99
31:35.8,-76.15567904,-129.849368,107.2739672,405.5419031,438.3011716,219.4044677,82.00511626,221.8924504,431.1395821,1008.32,1,1,31:32.3,1008.98
31:36.8,-76.15462055,-129.8476268,107.2726427,405.5354075,438.2922144,219.3983248,82.00419176,221.8942226,431.1402912,1008.31,1,1,31:33.5,1008.98
31:37.8,-76.15351657,-129.8457265,107.2712364,405.5288649,438.28379,219.3928214,82.00249992,221.8929908,431.1368542,1008.39,1,1,31:33.5,1008.95
31:38.8,-76.15256715,-129.8450085,107.2700041,405.5255164,438.279916,219.3899157,82.0010345,221.8930504,431.1381394,1008.34,1,1,31:35.3,1008.99
31:39.8,-76.15698507,-129.8509813,107.2750653,405.5498909,438.3155796,219.4168461,82.00500434,221.8779189,431.1200999,1008.32,1,1,31:36.8,1008.99
31:40.8,-76.15411568,-129.8464635,107.2727909,405.5347724,438.2920105,219.3987993,82.00456746,221.8940929,431.1401332,1008.34,1,1,31:36.9,1008.93
31:41.8,-76.1536416,-129.8460069,107.2709172,405.5284926,438.2832255,219.3923357,82.00306116,221.8955447,431.1410146,1008.33,1,1,31:36.9,1008.93
31:42.8,-76.15305768,-129.8474488,107.2696982,405.5329444,438.2949724,219.4033494,82.00069664,221.875517,431.1136982,1008.34,1,1,31:37.6,1008.97
31:43.9,-76.15207645,-129.8446728,107.2698898,405.5293609,438.2903522,219.4006498,82.00040685,221.8763415,431.1143461,1008.33,1,1,31:37.7,1008.97
31:44.8,-76.15450341,-129.8452316,107.2728822,405.5335476,438.2920016,219.4003922,82.00401129,221.8880774,431.1307114,1008.36,1,1,31:38.3,1008.95
31:45.8,-76.15349582,-129.8461332,107.27105,405.5311184,438.2887987,219.3971374,82.00223483,221.8884634,431.1321856,1008.34,1,1,31:38.4,1008.95
31:46.8,-76.15477721,-129.8484647,107.2723216,405.5397088,438.3024721,219.4080159,82.00332165,221.88004,431.1213839,1008.34,1,1,31:39.4,1008.95
31:47.8,-76.15304622,-129.8464013,107.2707176,405.5331058,438.2939389,219.4021759,82.00208495,221.881485,431.1225286,1008.32,1,1,31:39.5,1008.95
31:48.9,-76.15361929,-129.8460419,107.2712634,405.5329945,438.2933836,219.4020466,82.00257848,221.8817987,431.1220335,1008.33,1,1,31:40.3,1008.98
31:49.8,-76.15243156,-129.8443541,107.2702501,405.5273751,438.2851524,219.3956546,82.00083549,221.88354,431.1238154,1008.31,1,1,31:41.3,1008.94
31:50.3,-76.15445192,-129.8450431,107.2723041,405.5304749,438.2868091,219.3964153,82.0043218,221.8920869,431.1350731,1008.32,1,1,31:42.8,1008.97
31:51.2,-76.1517525,-129.8444279,107.2688435,405.5243854,438.2816119,219.3931107,81.99931359,221.8813783,431.120146,1008.33,1,1,31:43.5,1008.98
31:52.3,-76.15352055,-129.8438408,107.2717534,405.5276755,438.2833731,219.3939158,82.00258712,221.8899496,431.1320675,1008.36,1,1,31:43.6,1008.98
31:53.3,-76.15422549,-129.8458841,107.2722455,405.5318962,438.2881579,219.3959977,82.00284229,221.8919103,431.1367974,1008.34,1,1,31:44.3,1008.92
31:54.3,-76.1557367,-129.8489458,107.2732271,405.5402208,438.3006339,219.4056512,82.00540888,221.889194,431.1340559,1008.36,1,1,31:45.2,1008.92
31:54.8,-76.15178297,-129.8476582,107.2683302,405.532501,438.296287,219.4045808,81.99947032,221.8718701,431.1100233,1008.36,1,1,31:47.0,1008.97
31:55.8,-76.15338139,-129.8468939,107.2714242,405.538314,438.3039514,219.4108704,82.00159802,221.8706389,431.1085485,1008.34,1,1,31:47.1,1008.97
31:56.8,-76.15511258,-129.8468422,107.2737943,405.5396249,438.3009827,219.4068686,82.00514487,221.8861984,431.129869,1008.34,1,1,31:49.4,1008.97
31:57.8,-76.15397906,-129.8469078,107.2718387,405.5344633,438.2932519,219.4002213,82.00295758,221.8878664,431.131754,1008.34,1,1,31:49.4,1008.97
31:58.8,-76.15414907,-129.8468561,107.2720395,405.5344082,438.2929729,219.400101,82.00311831,221.8880082,431.1316118,1008.31,1,1,31:49.4,1008.93
31:59.9,-76.15427869,-129.8468043,107.2717281,405.533534,438.2922487,219.4003479,82.00393059,221.8880332,431.1305381,1008.37,1,1,31:50.3,1008.98
32:00.8,-76.15079332,-129.844504,107.2680189,405.524369,438.2829389,219.3940389,81.99783239,221.8778719,431.1168578,1008.33,1,1,31:51.4,1008.97
32:01.8,-76.15682798,-129.8476354,107.2756053,405.5430815,438.3040314,219.4087475,82.00687843,221.8889134,431.133186,1008.33,1,1,31:52.4,1008.98
32:02.8,-76.15328779,-129.8464408,107.2710615,405.5316783,438.2892013,219.3970243,82.00214245,221.8888036,431.132562,1008.36,1,1,31:53.3,1008.97
32:03.8,-76.15388131,-129.8461101,107.2718343,405.5316923,438.2882174,219.3961237,82.00286306,221.8918369,431.1368067,1008.37,1,1,31:55.9,1009.01
32:04.8,-76.1553904,-129.8488084,107.2737417,405.5416896,438.3023344,219.4059026,82.00356372,221.8864307,431.1316003,1008.3,1,1,31:56.1,1008.99
32:05.8,-76.15727318,-129.8492407,107.2761806,405.5449075,438.303376,219.4060851,82.00820257,221.8983258,431.1468195,1008.34,1,1,31:56.1,1008.99
32:06.8,-76.15203025,-129.8451501,107.2695857,405.5237456,438.2758475,219.3857492,82.00073184,221.8974843,431.1437055,1008.33,1,1,31:57.2,1008.97
32:07.9,-76.15548517,-129.8472426,107.2733942,405.5352603,438.291439,219.3980279,82.00461429,221.894606,431.1400663,1008.33,1,1,31:58.4,1008.98
32:08.8,-76.15360657,-129.8466679,107.2712827,405.5318196,438.288957,219.3967529,82.00221851,221.8890362,431.1325131,1008.37,1,1,31:58.4,1008.98
32:09.8,-76.15379323,-129.8461642,107.2718674,405.5319178,438.2884311,219.3960635,82.00263265,221.8918432,431.1371635,1008.36,1,1,31:59.5,1008.95
32:10.8,-76.15624954,-129.8497908,107.2741561,405.5439653,438.3054392,219.4085653,82.00554811,221.8884616,431.1343416,1008.37,1,1,32:00.3,1008.97
32:11.9,-76.15387038,-129.8493114,107.2715433,405.5404568,438.3037665,219.4080528,82.00223533,221.879763,431.1228001,1008.36,1,1,32:01.3,1008.93
32:12.9,-76.15526567,-129.849117,107.273242,405.5427252,438.305772,219.4099688,82.00531056,221.8850439,431.1295927,1008.31,1,1,32:04.2,1008.95
32:13.9,-76.15369273,-129.8485523,107.2709833,405.5390182,438.3037919,219.4098944,82.00223137,221.873983,431.1127516,1008.34,1,1,32:04.2,1008.97
32:14.8,-76.15128997,-129.8431723,107.2692269,405.5237399,438.2808336,219.3929263,82.00031801,221.884218,431.1245027,1008.34,1,1,32:04.3,1008.97
32:15.8,-76.15478995,-129.8458009,107.2729054,405.5340218,438.292204,219.4000969,82.00372118,221.8882822,431.1312196,1008.37,1,1,32:05.3,1008.99
32:16.8,-76.1540371,-129.8469281,107.2721396,405.5349598,438.2935397,219.3999827,82.00249282,221.8879507,431.1325324,1008.34,1,1,32:06.4,1008.95
32:17.9,-76.1565599,-129.8494174,107.2747435,405.5439148,438.3045303,219.407885,82.00666636,221.8917112,431.1382834,1008.37,1,1,32:07.3,1008.95
32:18.8,-76.15267756,-129.8480519,107.2698364,405.5341279,438.2951822,219.4018935,82.00089445,221.8813319,431.1238996,1008.33,1,1,32:08.4,1008.99
32:19.9,-76.15527683,-129.8485336,107.2736423,405.5430174,438.3067249,219.4110929,82.00418429,221.8796465,431.121198,1008.31,1,1,32:09.3,1008.98
32:20.9,-76.15402068,-129.8453543,107.2724892,405.5314664,438.2872086,219.3956386,82.00437094,221.8952696,431.1405278,1008.33,1,1,32:10.3,1008.99
32:21.8,-76.15310163,-129.844804,107.2708351,405.5261013,438.2796961,219.3896042,82.00157659,221.8939792,431.1381547,1008.33,1,1,32:11.4,1008.98
32:22.3,-76.15480058,-129.8460778,107.2728712,405.5321502,438.2871751,219.395014,82.00399297,221.8955037,431.1408438,1008.31,1,1,32:12.4,1008.98
32:23.3,-76.15431022,-129.8464321,107.2721148,405.5319791,438.287942,219.3958623,82.00333994,221.8924619,431.1364935,1008.37,1,1,32:13.3,1008.93
32:24.3,-76.15248718,-129.845036,107.2697292,405.5250614,438.2796129,219.3900995,82.00153986,221.8932709,431.1378998,1008.33,1,1,32:14.3,1008.99
32:24.9,-76.1551815,-129.8492452,107.2728548,405.54309,438.3080151,219.41229,82.00258128,221.8736873,431.1128235,1008.33,1,1,32:15.3,1008.98
32:25.8,-76.15373787,-129.8448748,107.2725009,405.5311456,438.2871351,219.3958259,82.00438686,221.8951169,431.1406384,1008.36,1,1,32:16.6,1008.99
32:26.8,-76.15412806,-129.8465929,107.272005,405.5325031,438.2887111,219.3958176,82.00242989,221.8920993,431.13753,1008.39,1,1,32:17.4,1008.99
32:27.8,-76.15579561,-129.8490786,107.2742256,405.5419974,438.3012618,219.4043965,82.00478212,221.8924655,431.1404423,1008.33,1,1,32:18.3,1009
32:28.8,-76.15758797,-129.8517077,107.2762355,405.5513351,438.313999,219.4137017,82.00733492,221.8904057,431.1381326,1008.41,1,1,32:19.4,1008.99
32:29.8,-76.15316902,-129.8476267,107.2714009,405.5333242,438.2890495,219.3945564,82.00247606,221.8974816,431.1474868,1008.41,1,1,32:20.3,1008.98
32:30.8,-76.15860434,-129.8540447,107.2770499,405.5578627,438.3233139,219.4197923,82.0075485,221.8881343,431.1379831,1008.44,1,1,32:21.3,1008.98
32:31.8,-76.15659146,-129.8546255,107.2750874,405.5575865,438.3252596,219.4212035,82.00592726,221.8842483,431.1346895,1008.44,1,1,32:22.4,1008.97
32:32.8,-76.15837118,-129.8567628,107.2771169,405.5665159,438.3379106,219.4306584,82.0081899,221.8817195,431.1326387,1008.44,1,1,32:23.4,1008.98
32:33.8,-76.15756739,-129.8569584,107.2762962,405.5664363,438.3389971,219.4315995,82.00721405,221.8784916,431.1287156,1008.46,1,1,32:24.3,1008.98
32:34.8,-76.15774482,-129.8567565,107.2767433,405.5666246,438.3385066,219.4308735,82.00771937,221.8814153,431.1332333,1008.41,1,1,32:25.4,1008.97
32:35.8,-76.15933781,-129.8584307,107.27824,405.5725646,438.3465112,219.4370298,82.00981631,221.8801632,431.1311826,1008.38,1,1,32:26.4,1008.97
32:36.8,-76.15587524,-129.8543126,107.2742705,405.5566056,438.3254611,219.4224619,82.00614264,221.8813232,431.1294887,1008.39,1,1,32:27.4,1009.01
32:37.8,-76.15497952,-129.8509771,107.2736878,405.5478312,438.3121371,219.4126905,82.00420741,221.8842738,431.1314816,1008.41,1,1,32:28.4,1009.01
32:38.8,-76.15734604,-129.8516796,107.2766507,405.5521465,438.3139249,219.4123231,82.00746051,221.8958736,431.1482159,1008.41,1,1,32:29.3,1009.01
32:39.8,-76.15840141,-129.8547846,107.2773349,405.5591812,438.3233615,219.4182278,82.00805436,221.8941838,431.1476685,1008.42,1,1,32:30.4,1008.99
